nav #                 start point           target point          bigstride steps       stride size           path length           
73                    (10, 27)              (24, 32)              1                     1                     15                    
73                    (10, 27)              (24, 32)              1                     2                     14                    
73                    (10, 27)              (24, 32)              2                     1                     15                    
73                    (10, 27)              (24, 32)              2                     2                     13                    
74                    (10, 27)              (24, 33)              1                     1                     15                    
74                    (10, 27)              (24, 33)              1                     2                     14                    
74                    (10, 27)              (24, 33)              2                     1                     15                    
74                    (10, 27)              (24, 33)              2                     2                     13                    
75                    (10, 27)              (24, 34)              1                     1                     15                    
75                    (10, 27)              (24, 34)              1                     2                     14                    
75                    (10, 27)              (24, 34)              2                     1                     15                    
75                    (10, 27)              (24, 34)              2                     2                     13                    
76                    (10, 28)              (20, 30)              1                     1                     11                    
76                    (10, 28)              (20, 30)              1                     2                     10                    
76                    (10, 28)              (20, 30)              2                     1                     11                    
76                    (10, 28)              (20, 30)              2                     2                     9                     
77                    (10, 28)              (20, 31)              1                     1                     11                    
77                    (10, 28)              (20, 31)              1                     2                     10                    
77                    (10, 28)              (20, 31)              2                     1                     11                    
77                    (10, 28)              (20, 31)              2                     2                     9                     
78                    (10, 28)              (20, 32)              1                     1                     11                    
78                    (10, 28)              (20, 32)              1                     2                     10                    
78                    (10, 28)              (20, 32)              2                     1                     11                    
78                    (10, 28)              (20, 32)              2                     2                     9                     
79                    (10, 28)              (20, 33)              1                     1                     11                    
79                    (10, 28)              (20, 33)              1                     2                     10                    
79                    (10, 28)              (20, 33)              2                     1                     11                    
79                    (10, 28)              (20, 33)              2                     2                     9                     
80                    (10, 28)              (20, 34)              1                     1                     11                    
80                    (10, 28)              (20, 34)              1                     2                     10                    
80                    (10, 28)              (20, 34)              2                     1                     11                    
80                    (10, 28)              (20, 34)              2                     2                     9                     
81                    (10, 28)              (21, 30)              1                     1                     12                    
81                    (10, 28)              (21, 30)              1                     2                     11                    
81                    (10, 28)              (21, 30)              2                     1                     12                    
81                    (10, 28)              (21, 30)              2                     2                     10                    
82                    (10, 28)              (21, 31)              1                     1                     12                    
82                    (10, 28)              (21, 31)              1                     2                     11                    
82                    (10, 28)              (21, 31)              2                     1                     12                    
82                    (10, 28)              (21, 31)              2                     2                     10                    
83                    (10, 28)              (21, 32)              1                     1                     12                    
83                    (10, 28)              (21, 32)              1                     2                     11                    
83                    (10, 28)              (21, 32)              2                     1                     12                    
83                    (10, 28)              (21, 32)              2                     2                     10                    
84                    (10, 28)              (21, 33)              1                     1                     12                    
84                    (10, 28)              (21, 33)              1                     2                     11                    
84                    (10, 28)              (21, 33)              2                     1                     12                    
84                    (10, 28)              (21, 33)              2                     2                     10                    
85                    (10, 28)              (21, 34)              1                     1                     12                    
85                    (10, 28)              (21, 34)              1                     2                     11                    
85                    (10, 28)              (21, 34)              2                     1                     12                    
